Nama Jurnal,ISSN,SJR,H-Index,Bidang Ilmu,Quartil
Journal of Analysis and Testing,25094696,1.118,28,Analytical Chemistry,Q1
Molecular Plant-Microbe Interactions,08940282,1.118,183,Agronomy and Crop Science,Q1
Advances in Geophysics,00652687,1.117,39,Geophysics,Q1
Asian Journal of Social Health and Behavior,27724204,1.117,20,Health,Q1
Biological Chemistry,14316730,1.117,133,Biochemistry,Q1
Clinical Interventions in Aging,11781998,1.117,114,Medicine,Q1
Journal of Small Business and Entrepreneurship,08276331,1.117,45,Business and International Management,Q1
Language Awareness,09658416,1.117,53,Education,Q1
Leadership and Organization Development Journal,01437739,1.117,89,"Business, Management and Accounting",Q1
Soil Security,26670062,1.117,17,Earth-Surface Processes,Q1
Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering,02588013,1.117,140,Electrical and Electronic Engineering,Q1
Biochemia Medica,13300962,1.116,56,Biochemistry,Q1
Collagen and Leather,20971419,1.116,27,Biomedical Engineering,Q1
Eurasian Business Review,13094297,1.116,36,"Business, Management and Accounting",Q1
Frontiers in Toxicology,26733080,1.116,22,"Pharmacology, Toxicology and Pharmaceutics",Q1
Journal of Experimental Child Psychology,00220965,1.116,142,Developmental and Educational Psychology,Q1
Journal of Oral Rehabilitation,13652842,1.116,114,Dentistry,Q1
Real Estate Economics,15406229,1.116,74,Accounting,Q1
European Planning Studies,09654313,1.115,108,"Geography, Planning and Development",Q1
Frontiers in Nutrition,2296861X,1.115,94,Food Science,Q1
Journal of Creative Behavior,21626057,1.115,75,Developmental and Educational Psychology,Q1
Journal of Glaciology,00221430,1.115,120,Earth-Surface Processes,Q1
Materials Advances,26335409,1.115,61,Chemistry,Q1
Antibiotics,20796382,1.114,99,Biochemistry,Q1
Biomedicines,22279059,1.114,85,"Biochemistry, Genetics and Molecular Biology",Q1
Computer Communications,1873703X,1.114,138,Computer Networks and Communications,Q1
Advanced Biology,27010198,1.113,45,"Biochemistry, Genetics and Molecular Biology",Q1
Current Oncology,17187729,1.113,76,Oncology,Q2
Dementia,17412684,1.113,70,History,Q1
IEEE Transactions on Biomedical Engineering,00189294,1.113,245,Biomedical Engineering,Q1
Journal of Construction Engineering and Management,19437862,1.113,147,Building and Construction,Q1
Journal of Integrative Agriculture,20953119,1.113,92,Agronomy and Crop Science,Q1
Primary Care - Clinics in Office Practice,1558299X,1.113,64,Medicine,Q1
Biophysical Journal,15420086,1.112,301,Biophysics,Q1
Nonprofit and Voluntary Sector Quarterly,15527395,1.112,107,Social Sciences,Q1
Pharmaceutical Medicine,11782595,1.112,29,Pharmacology,Q1
Radiation Oncology,1748717X,1.112,98,"Radiology, Nuclear Medicine and Imaging",Q1
China Geology,20965192,1.111,30,Computers in Earth Sciences,Q1
Digestion,14219867,1.111,92,Gastroenterology,Q1
EFSA Journal,18314732,1.111,159,Animal Science and Zoology,Q1
International Journal of Digital Earth,17538955,1.111,69,Computer Science Applications,Q1
Radiology: Imaging Cancer,2638616X,1.111,24,Medicine,Q1
Engineering with Computers,14355663,1.11,93,Computer Science Applications,Q1
JPhys Materials,25157639,1.11,37,"Atomic and Molecular Physics, and Optics",Q1
Nonlinear Differential Equations and Applications,10219722,1.11,49,Analysis,Q1
Progress in Natural Science: Materials International,10020071,1.11,88,Materials Science,Q1
Scandinavian Journal of Management,09565221,1.11,72,Strategy and Management,Q1
Spanish Journal of Marketing - ESIC,24449709,1.11,34,Marketing,Q2
Television and New Media,15274764,1.11,52,Cultural Studies,Q1
American Politics Research,15523373,1.109,66,Sociology and Political Science,Q1
JBI Evidence Implementation,26913321,1.109,49,Internal Medicine,Q1
Journal of Refugee Studies,09516328,1.109,76,"Geography, Planning and Development",Q1
Land Degradation and Development,1099145X,1.109,115,Development,Q1
Space Weather,15427390,1.109,76,Atmospheric Science,Q2
Supportive Care in Cancer,14337339,1.109,143,Oncology,Q1
China Agricultural Economic Review,1756137X,1.108,44,Agricultural and Biological Sciences,Q1
China Communications,16735447,1.108,70,Computer Networks and Communications,Q1
Cytokine,10960023,1.108,142,Biochemistry,Q1
Ecosystems and People,26395908,1.108,48,Ecology,Q1
Food Bioscience,22124306,1.108,77,Biochemistry,Q1
International Journal of Science and Mathematics Education,15710068,1.108,60,Education,Q1
International Journal of Tryptophan Research,11786469,1.108,36,Biochemistry,Q1
Journal of Pharmacology and Experimental Therapeutics,15210103,1.108,250,Pharmacology,Q1
Journal of Systematics and Evolution,17596831,1.108,65,"Ecology, Evolution, Behavior and Systematics",Q1
Asian Spine Journal,19767846,1.107,51,Orthopedics and Sports Medicine,Q1
China Journal,18358535,1.107,60,"Geography, Planning and Development",Q1
Cleaner Energy Systems,27727831,1.107,15,"Renewable Energy, Sustainability and the Environment",Q2
Epigenomes,20754655,1.107,18,Biochemistry,Q1
Ethics and Information Technology,13881957,1.107,79,Computer Science Applications,Q1
Food and Energy Security,20483694,1.107,49,Agronomy and Crop Science,Q1
International Journal for Numerical and Analytical Methods in Geomechanics,03639061,1.107,121,Computational Mechanics,Q1
Journal of Neural Transmission,03009564,1.107,134,Neurology,Q1
Open Heart,20533624,1.107,54,Cardiology and Cardiovascular Medicine,Q1
Applied and Environmental Microbiology,00992240,1.106,379,Applied Microbiology and Biotechnology,Q1
BMJ Open Respiratory Research,20524439,1.106,45,Pulmonary and Respiratory Medicine,Q1
Economic and Industrial Democracy,0143831X,1.106,51,"Business, Management and Accounting",Q1
Electrochimica Acta,00134686,1.106,289,Chemical Engineering,Q1
Environmental Education Research,14695871,1.106,98,Education,Q1
Frontiers of Optoelectronics,20952767,1.106,37,Electrical and Electronic Engineering,Q1
International Journal of Integrated Care,15684156,1.106,47,Health Policy,Q1
Journal of Athletic Training,10626050,1.106,139,Medicine,Q1
Journal of Plant Physiology,01761617,1.106,168,Agronomy and Crop Science,Q1
Men and Masculinities,1097184X,1.106,77,Gender Studies,Q1
Toxicology,0300483X,1.106,182,Toxicology,Q1
ACM Transactions on Quantum Computing,26436817,1.105,17,Computational Theory and Mathematics,Q1
ACS Biomaterials Science and Engineering,23739878,1.105,104,Biomedical Engineering,Q1
Aggressive Behavior,10982337,1.105,116,Arts and Humanities,Q1
Annals of Family Medicine,15441717,1.105,139,Family Practice,Q1
Circulation Journal,13474820,1.105,128,Cardiology and Cardiovascular Medicine,Q1
Counseling Outcome Research and Evaluation,21501378,1.105,15,Psychology,Q1
European Journal of Public Health,1464360X,1.105,118,"Public Health, Environmental and Occupational Health",Q1
European Transport Research Review,18668887,1.105,50,Automotive Engineering,Q1
Journal of Diabetes,17530407,1.105,61,"Endocrinology, Diabetes and Metabolism",Q2
Neurology: Genetics,23767839,1.105,41,Neurology,Q1
Trends in Neuroscience and Education,22119493,1.105,38,Behavioral Neuroscience,Q1
European Thyroid Journal,22350640,1.104,32,"Endocrinology, Diabetes and Metabolism",Q2
Social Policy and Administration,01445596,1.104,79,Development,Q1
Applied Water Science,21905495,1.103,98,Water Science and Technology,Q1
Behaviour and Information Technology,13623001,1.103,103,Arts and Humanities,Q1
Computational Complexity,14208954,1.103,43,Computational Mathematics,Q1
Journal of Curriculum Studies,13665839,1.103,75,Education,Q1
Microbial Cell Factories,14752859,1.103,134,Applied Microbiology and Biotechnology,Q1
Neurochemical Research,03643190,1.103,137,Medicine,Q1
Benchmarking,14635771,1.102,89,Business and International Management,Q1
Canadian Psychology,07085591,1.102,73,Psychology,Q1
Hernia : the journal of hernias and abdominal wall surgery,12654906,1.102,89,Surgery,Q1
Neural Computing and Applications,09410643,1.102,146,Artificial Intelligence,Q1
Neurosurgical Focus,10920684,1.102,129,Medicine,Q1
Pregnancy Hypertension,22107797,1.102,43,Internal Medicine,Q1
American Review of Public Administration,15523357,1.101,82,Public Administration,Q1
Canadian Journal of School Psychology,21543984,1.101,39,Developmental and Educational Psychology,Q2
International Journal of Refractory Metals and Hard Materials,22133917,1.101,111,Ceramics and Composites,Q1
Journal of Experimental Education,19400683,1.101,77,Education,Q1
Journal of Neuropathology and Experimental Neurology,15546578,1.101,182,Medicine,Q1
Minerals Engineering,08926875,1.101,146,Chemistry,Q1
Neural Plasticity,16875443,1.101,94,Neurology,Q2
Statistica Sinica,10170405,1.101,90,Statistics and Probability,Q1
Trends in Hearing,23312165,1.101,68,Otorhinolaryngology,Q1
IEEE Intelligent Transportation Systems Magazine,19411197,1.1,63,Automotive Engineering,Q1
Insect Systematics and Diversity,23993421,1.1,20,Animal Science and Zoology,Q1
JMIR Nursing,25627600,1.1,12,Nursing,Q1
Additive Manufacturing Letters,27723690,1.099,17,Engineering,Q1
Contemporary Educational Technology,1309517X,1.099,28,Education,Q1
Fungal Biology Reviews,17494613,1.099,72,Plant Science,Q1
Journal of Ovarian Research,17572215,1.099,66,Obstetrics and Gynecology,Q1
NeuroMolecular Medicine,15351084,1.099,86,Cellular and Molecular Neuroscience,Q2
Rheumatology and Therapy,21986576,1.099,40,Immunology and Allergy,Q2
Healthcare Analytics,27724425,1.098,28,Analytical Chemistry,Q1
IEEE Open Journal of Antennas and Propagation,26376431,1.098,30,Electrical and Electronic Engineering,Q1
Journal of Management Science and Engineering,20962320,1.098,26,Business and International Management,Q1
Naval Research Logistics,15206750,1.098,78,Management Science and Operations Research,Q1
"Nutrition, Metabolism and Cardiovascular Diseases",15903729,1.098,125,Cardiology and Cardiovascular Medicine,Q1
CIRP Journal of Manufacturing Science and Technology,17555817,1.097,69,Industrial and Manufacturing Engineering,Q1
English for Specific Purposes,08894906,1.097,98,Education,Q1
Journal of Hypertension,14735598,1.097,198,Cardiology and Cardiovascular Medicine,Q1
Natural Resources Research,15207439,1.097,76,Environmental Science,Q1
Research on Aging,01640275,1.097,79,Health,Q1
ACR Open Rheumatology,25785745,1.096,27,Rheumatology,Q2
ACS Chemical Neuroscience,19487193,1.096,104,Medicine,Q1
Aquaculture,00448486,1.096,222,Aquatic Science,Q1
Autonomous Robots,15737527,1.096,135,Artificial Intelligence,Q1
Journal of the Geological Society,2041479X,1.096,135,Geology,Q1
Physical Review C,24699985,1.096,245,Nuclear and High Energy Physics,Q1
Reproduction,17417899,1.096,177,Embryology,Q1
Advances in Life Course Research,18796974,1.095,50,Life-span and Life-course Studies,Q1
CNS Spectrums,10928529,1.095,94,Neurology,Q2
International Journal of Housing Policy,19491247,1.095,45,"Geography, Planning and Development",Q1
Journal of Clinical and Translational Hepatology,23108819,1.095,54,Gastroenterology,Q1
Personality and Mental Health,19328621,1.095,35,Health Policy,Q1
Superconductor Science and Technology,09532048,1.095,124,Ceramics and Composites,Q1
Surgery (United States),15327361,1.095,187,Surgery,Q1
Neuroendocrinology,00283835,1.094,115,Cellular and Molecular Neuroscience,Q2
SIAM Journal on Discrete Mathematics,10957146,1.094,72,Mathematics,Q1
Clinical Genetics,00099163,1.093,121,Genetics,Q2
"Engineering Science and Technology, an International Journal",22150986,1.093,94,Civil and Structural Engineering,Q1
Insect Conservation and Diversity,17524598,1.093,56,"Ecology, Evolution, Behavior and Systematics",Q1
Journal of Educational Measurement,00220655,1.093,61,Education,Q1
Journal of Gastric Cancer,2093582X,1.093,41,Gastroenterology,Q1
Journal on Migration and Human Security,23302488,1.093,31,Demography,Q1
Scandinavian Journal of Economics,14679442,1.093,78,Economics and Econometrics,Q1
Service Business,18628508,1.093,48,Business and International Management,Q1
Annals of Operations Research,02545330,1.092,132,Decision Sciences,Q1
Bulletin de la Societe Mathematique de France,00379484,1.092,34,Mathematics,Q1
Environmental Epidemiology,24747882,1.092,26,"Health, Toxicology and Mutagenesis",Q1
Materials and Structures/Materiaux et Constructions,13595997,1.092,147,Building and Construction,Q1
American Journal of Health Promotion,21686602,1.091,103,Health,Q1
Digestive and Liver Disease,15908658,1.091,113,Gastroenterology,Q1
Digital Geography and Society,26663783,1.091,14,Computer Science Applications,Q1
Journal of Contaminant Hydrology,01697722,1.091,115,Water Science and Technology,Q1
NDT and E International,09638695,1.091,117,Condensed Matter Physics,Q1
Regional Environmental Change,14363798,1.091,99,Global and Planetary Change,Q2
TechTrends,87563894,1.091,63,Computer Science Applications,Q1
Tectonophysics,00401951,1.091,212,Earth-Surface Processes,Q1
Tree Physiology,0829318X,1.091,154,Plant Science,Q1
American Journal of Chinese Medicine,0192415X,1.09,82,Complementary and Alternative Medicine,Q1
Earth Surface Dynamics,2196632X,1.09,49,Earth-Surface Processes,Q1
Expert Review of Anti-Infective Therapy,14787210,1.09,103,Infectious Diseases,Q1
International Journal of Robust and Nonlinear Control,10498923,1.09,128,Aerospace Engineering,Q1
Oxford Open Immunology,26336960,1.09,5,Immunology,Q2
Research Involvement and Engagement,20567529,1.09,44,Health Professions,Q1
Bioelectronic Medicine,23328886,1.089,27,Biomedical Engineering,Q1
Bulletin of the Seismological Society of America,00371106,1.089,178,Geochemistry and Petrology,Q1
Climate Change Ecology,26669005,1.089,12,Ecological Modeling,Q1
International Journal of Lightweight Materials and Manufacture,25888404,1.089,36,Industrial and Manufacturing Engineering,Q1
Plant Biology,14388677,1.089,115,"Ecology, Evolution, Behavior and Systematics",Q1
Annals of Financial Economics,20104952,1.088,19,Business and International Management,Q1
Journal of Bacteriology,00219193,1.088,283,Microbiology,Q2
Journal of Counseling and Development,15566676,1.088,95,Applied Psychology,Q2
Journal of Multilingual and Multicultural Development,01434632,1.088,70,Cultural Studies,Q1
"Perspectives in Plant Ecology, Evolution and Systematics",16180437,1.088,92,"Ecology, Evolution, Behavior and Systematics",Q1
Swiss Political Science Review,14247755,1.088,44,Political Science and International Relations,Q1
eNeuro,23732822,1.087,68,Medicine,Q1
International Journal of Methods in Psychiatric Research,10498931,1.087,91,Psychiatry and Mental Health,Q2
Applied Ergonomics,18729126,1.086,134,Engineering,Q1
ChemBioEng Reviews,21969744,1.086,48,Bioengineering,Q1
Multinational Business Review,1525383X,1.086,44,Business and International Management,Q1
Pituitary,15737403,1.086,84,Endocrinology,Q2
Toxicological Sciences,10960929,1.086,214,Toxicology,Q1
Computer Law and Security Review,02673649,1.085,62,"Business, Management and Accounting",Q1
Galaxies,20754434,1.085,39,Astronomy and Astrophysics,Q1
JAMIA Open,25742531,1.085,32,Health Informatics,Q1
Journal of Hospital Medicine,15535606,1.085,87,Assessment and Diagnosis,Q1
Journal of Sport and Social Issues,01937235,1.085,72,Sociology and Political Science,Q1
Structures,23520124,1.085,70,Architecture,Q1
Adipocyte,21623945,1.084,37,Histology,Q1
Agriculture and Food Security,20487010,1.084,56,Agronomy and Crop Science,Q1
Journal of Comparative Neurology,10969861,1.084,232,Neuroscience,Q2
Chemical Engineering Science: X,25901400,1.083,21,Chemical Engineering,Q1
Forestry Research,27673812,1.083,9,Forestry,Q1
Journal of Family Psychology,08933200,1.083,148,Psychology,Q1
Administration and Society,00953997,1.082,80,Public Administration,Q1
Advances in Simulation,20590628,1.082,32,"Ecology, Evolution, Behavior and Systematics",Q1
"Annals of Allergy, Asthma and Immunology",15344436,1.082,132,Pulmonary and Respiratory Medicine,Q1
BioScience Trends,18817823,1.082,52,"Biochemistry, Genetics and Molecular Biology",Q1
BMC Medical Ethics,14726939,1.082,66,Health Policy,Q1
Hydrometallurgy,0304386X,1.082,147,Industrial and Manufacturing Engineering,Q1
IEEE Transactions on Computational Imaging,23339403,1.082,45,Computational Mathematics,Q1
Journal of Dermatological Science,1873569X,1.082,115,Dermatology,Q1
Journal of Physical Activity and Health,15433080,1.082,93,Orthopedics and Sports Medicine,Q1
Northwestern University Law Review,00293571,1.082,54,Law,Q1
Youth Violence and Juvenile Justice,15412040,1.082,60,Health,Q1
Journal for the Scientific Study of Religion,00218294,1.081,87,Religious Studies,Q1
Journal of Accounting and Public Policy,18732070,1.081,96,Accounting,Q1
Journal of Economics and Management Strategy,15309134,1.081,82,"Business, Management and Accounting",Q1
Journal of Environmental Planning and Management,13600559,1.081,91,Environmental Science,Q1
Management of Environmental Quality,17586119,1.081,60,"Biochemistry, Genetics and Molecular Biology",Q1
Mycology,21501211,1.081,41,Infectious Diseases,Q1
Handbook of Experimental Pharmacology,18650325,1.08,114,"Pharmacology, Toxicology and Pharmaceutics",Q1
"Journal of Law, Finance, and Accounting",23805013,1.08,11,Accounting,Q1
Journal of Zhejiang University: Science B,16731581,1.08,78,"Biochemistry, Genetics and Molecular Biology",Q1
Solid Earth,18699510,1.08,66,Earth-Surface Processes,Q1
Andrology,20472927,1.079,76,Reproductive Medicine,Q1
Early Intervention in Psychiatry,17517885,1.079,62,Biological Psychiatry,Q2
Forensic Science International: Synergy,2589871X,1.079,23,Law,Q1
Aging,19454589,1.078,132,Cell Biology,Q2
Archives of Public Health,20493258,1.078,51,"Public Health, Environmental and Occupational Health",Q1
Current Opinion in Hematology,15317048,1.078,110,Hematology,Q1
EuroMed Journal of Business,14502194,1.078,42,"Business, Management and Accounting",Q1
Journal of Applied Physiology,87507587,1.078,268,Medicine,Q1
Journal of Cultural Economics,08852545,1.078,55,"Economics, Econometrics and Finance",Q1
Macromolecular Rapid Communications,10221336,1.078,178,Materials Chemistry,Q1
Network Neuroscience,24721751,1.078,39,Applied Mathematics,Q1
Applied Clay Science,01691317,1.077,173,Geochemistry and Petrology,Q1
Indoor Air,09056947,1.077,133,Building and Construction,Q1
Journal of Cutaneous Medicine and Surgery,16157109,1.077,58,Dermatology,Q1
Journal of Survey Statistics and Methodology,23250992,1.077,27,Applied Mathematics,Q1
Agriculture and Human Values,15728366,1.076,99,Agronomy and Crop Science,Q1
Ain Shams Engineering Journal,20904479,1.076,86,Engineering,Q1
Arrhythmia and Electrophysiology Review,20503377,1.076,34,Cardiology and Cardiovascular Medicine,Q1
Botanical Review,18749372,1.076,81,"Ecology, Evolution, Behavior and Systematics",Q1
European Educational Research Journal,14749041,1.076,53,Education,Q1
European Journal of Clinical Nutrition,09543007,1.076,187,Medicine,Q1
European Polymer Journal,00143057,1.076,179,Materials Chemistry,Q1
European Spine Journal,09406719,1.076,173,Orthopedics and Sports Medicine,Q1
Journal of Immunology Research,23147156,1.076,122,Medicine,Q1
Neuromodulation,15251403,1.076,82,Anesthesiology and Pain Medicine,Q1
Proceedings of the Royal Society of Edinburgh Section A: Mathematics,14737124,1.076,64,Mathematics,Q1
Frontiers in Oncology,2234943X,1.075,156,Cancer Research,Q2
Intelligent Medicine,20969376,1.075,14,Biomedical Engineering,Q1
International Journal for Numerical Methods in Engineering,00295981,1.075,201,Applied Mathematics,Q1
Journal of Field Robotics,15564967,1.075,120,Computer Science Applications,Q1
Pharmaceutics,19994923,1.075,129,Pharmaceutical Science,Q1
Review of Industrial Organization,0889938X,1.075,67,Economics and Econometrics,Q1
Strength and Conditioning Journal,15334295,1.075,63,Orthopedics and Sports Medicine,Q1
Investigational New Drugs,01676997,1.074,100,Pharmacology,Q1
Pharmaceutical Statistics,15391612,1.074,49,Pharmacology,Q1
Plant Genome,19403372,1.074,73,Agronomy and Crop Science,Q1
Applied Food Research,27725022,1.073,27,Food Science,Q1
BMC Primary Care,27314553,1.073,95,Family Practice,Q1
Discovery Immunology,27542483,1.073,5,Immunology and Microbiology,Q1
Environment and Planning B: Urban Analytics and City Science,23998083,1.073,117,Architecture,Q1
Heredity,0018067X,1.073,140,Genetics,Q2
Journal of Immigrant and Minority Health,15571912,1.073,78,"Public Health, Environmental and Occupational Health",Q1
Journal of Periodontal Research,16000765,1.073,102,Periodontics,Q1
Marine and Petroleum Geology,02648172,1.073,164,Economic Geology,Q1
Solar Compass,27729400,1.073,12,Energy,Q2
Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology,15320456,1.072,127,Animal Science and Zoology,Q1
Expert Review of Clinical Pharmacology,17512433,1.072,67,Medicine,Q1
IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,21607516,1.072,141,Computer Vision and Pattern Recognition,-
International Journal of Precision Engineering and Manufacturing - Green Technology,21980810,1.072,59,Industrial and Manufacturing Engineering,Q1
Journal of Sports Science and Medicine,13032968,1.072,87,Orthopedics and Sports Medicine,Q1
Materials Science for Energy Technologies,25892991,1.072,53,Chemical Engineering,Q1
Post-Soviet Affairs,1060586X,1.072,57,Economics and Econometrics,Q1
Science and Technology of Archaeological Research,20548923,1.072,19,Archeology,Q1
Biology Letters,17449561,1.071,140,Agricultural and Biological Sciences,Q1
Economics of Innovation and New Technology,14768364,1.071,71,"Economics, Econometrics and Finance",Q1
Epigenetics,15592308,1.071,117,Medicine,Q1
Hypertension Research,13484214,1.071,107,Cardiology and Cardiovascular Medicine,Q1
IEEE Transactions on Learning Technologies,19391382,1.071,67,Computer Science Applications,Q1
International Gambling Studies,14794276,1.071,45,Applied Psychology,Q2
Journal of Policy Modeling,01618938,1.071,72,Economics and Econometrics,Q1
Journal of Sex Research,00224499,1.071,139,Gender Studies,Q1
Journal of the American College of Radiology,1558349X,1.071,85,"Radiology, Nuclear Medicine and Imaging",Q1
Mycorrhiza,14321890,1.071,110,"Ecology, Evolution, Behavior and Systematics",Q1
Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),15317102,1.071,117,Software,-
Prostate,10970045,1.071,138,Urology,Q1
Urban Affairs Review,10780874,1.071,88,Sociology and Political Science,Q1
Acta Diabetologica,14325233,1.07,90,Medicine,Q1
Diabetes Therapy,18696961,1.07,59,"Endocrinology, Diabetes and Metabolism",Q2
Frontiers in Digital Health,2673253X,1.07,32,Biomedical Engineering,Q1
International Journal of Concrete Structures and Materials,22341315,1.07,55,Civil and Structural Engineering,Q1
Journal of General Virology,00221317,1.07,193,Virology,Q2
Language Learning and Technology,10943501,1.07,96,Computer Science Applications,Q1
Neural Development,17498104,1.07,63,Developmental Neuroscience,Q2
Neurologia Medico-Chirurgica,13498029,1.07,65,Surgery,Q1
Politics,14679256,1.07,45,Political Science and International Relations,Q1
Proceedings - IEEE International Conference on Robotics and Automation,10504729,1.07,236,Artificial Intelligence,-
BMC Pregnancy and Childbirth,14712393,1.069,122,Obstetrics and Gynecology,Q1
Conservation Science and Practice,25784854,1.069,36,Ecology,Q1
Ecology and Society,17083087,1.069,182,Ecology,Q1
European Business Review,0955534X,1.069,60,Business and International Management,Q1
American Journal of Orthopsychiatry,19390025,1.068,115,Arts and Humanities,Q1
BioData Mining,17560381,1.068,42,Computational Mathematics,Q1
Brain Research Bulletin,03619230,1.068,149,Neuroscience,Q2
Current Opinion in Gastroenterology,02671379,1.068,98,Gastroenterology,Q1
Frontiers in Neuroscience,1662453X,1.068,170,Neuroscience,Q2
Journal of Digital Learning in Teacher Education,21532974,1.068,34,Computer Science Applications,Q1
Journal of Quality Technology,00224065,1.068,99,Industrial and Manufacturing Engineering,Q1
Journal of Vegetation Science,11009233,1.068,139,Ecology,Q1
"Mayo Clinic Proceedings: Innovations, Quality and Outcomes",25424548,1.068,28,Medicine,Q1
Minerva,00264695,1.068,53,Education,Q1
Organic Chemistry Frontiers,20524110,1.068,89,Organic Chemistry,Q1
State Politics and Policy Quarterly,15324400,1.068,49,Arts and Humanities,Q1
Cooperation and Conflict,00108367,1.067,55,Development,Q1
Journal of Benefit-Cost Analysis,21522812,1.067,17,Economics and Econometrics,Q1
Journal of Dermatological Treatment,09546634,1.067,69,Dermatology,Q1
Journal of Science Teacher Education,1046560X,1.067,61,Education,Q1
Journal of Studies in International Education,10283153,1.067,82,Education,Q1
Natural Products and Bioprospecting,21922209,1.067,41,Analytical Chemistry,Q1
Tsinghua Science and Technology,10070214,1.067,64,Multidisciplinary,Q1
Chinese Medicine (United Kingdom),17498546,1.066,64,Complementary and Alternative Medicine,Q1
Human Resource Development International,13678868,1.066,66,Organizational Behavior and Human Resource Management,Q2
International Journal of Damage Mechanics,10567895,1.066,61,Computational Mechanics,Q1
Child Indicators Research,18748988,1.065,52,Health,Q1
Discrete and Continuous Dynamical Systems- Series A,15535231,1.065,80,Analysis,Q1
European Cardiology Review,17583764,1.065,30,Cardiology and Cardiovascular Medicine,Q1
Intelligent and Converged Networks,27086240,1.065,21,Computer Networks and Communications,Q1
Journal of Civil Structural Health Monitoring,21905479,1.065,49,Civil and Structural Engineering,Q1
Journal of Diabetes Research,23146745,1.065,90,Endocrinology,Q2
"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",15472450,1.065,64,Aerospace Engineering,Q1
Revista Brasileira de Psiquiatria,1809452X,1.065,72,Psychiatry and Mental Health,Q2
Water Biology and Security,27727351,1.065,13,Agricultural and Biological Sciences,Q1
Cartilage,19476035,1.064,52,Biomedical Engineering,Q1
Environmental Toxicology and Pharmacology,18727077,1.064,111,"Health, Toxicology and Mutagenesis",Q1
European Journal of Special Needs Education,08856257,1.064,57,Education,Q1
IEEE Control Systems Letters,24751456,1.064,47,Control and Optimization,Q1
International Journal of Inclusive Education,14645173,1.064,72,Arts and Humanities,Q1
International Migration Review,01979183,1.064,120,Arts and Humanities,Q1
Journal of Behavioral Decision Making,08943257,1.064,96,Arts and Humanities,Q1
Motivation and Emotion,15736644,1.064,108,Experimental and Cognitive Psychology,Q1
Separation and Purification Reviews,15422119,1.064,71,Analytical Chemistry,Q1
Chromosome Research,15736849,1.063,91,Genetics,Q2
European Journal of Health Economics,16187598,1.063,71,"Economics, Econometrics and Finance",Q1
EXCLI Journal,16112156,1.063,62,Animal Science and Zoology,Q1
Global Heart,22118179,1.063,55,Cardiology and Cardiovascular Medicine,Q1
International Communications in Heat and Mass Transfer,07351933,1.063,153,"Atomic and Molecular Physics, and Optics",Q1
JAC-Antimicrobial Resistance,26321823,1.063,29,Infectious Diseases,Q1
Journal of Asthma and Allergy,11786965,1.063,45,Pulmonary and Respiratory Medicine,Q1
Journal of Reconstructive Microsurgery,0743684X,1.063,66,Surgery,Q1
Neurobiology of Pain,2452073X,1.063,22,Anesthesiology and Pain Medicine,Q1
Poultry Science,15253171,1.063,182,Animal Science and Zoology,Q1
Radiologia Medica,00338362,1.063,65,Medicine,Q1
Reproductive Medicine and Biology,14455781,1.063,42,Reproductive Medicine,Q1
Respiratory Medicine,09546111,1.063,145,Pulmonary and Respiratory Medicine,Q1
Aquaculture Economics and Management,13657305,1.062,46,Aquatic Science,Q1
City and Environment Interactions,25902520,1.062,21,Environmental Science,Q1
Journal of Global Security Studies,20573189,1.062,25,Political Science and International Relations,Q1
Journal of Neurogastroenterology and Motility,20930887,1.062,66,Gastroenterology,Q1
Pflugers Archiv European Journal of Physiology,00316768,1.062,151,Clinical Biochemistry,Q1
"Alcohol, Clinical and Experimental Research",29937175,1.061,175,Medicine,Q1
Case Studies in Thermal Engineering,2214157X,1.061,87,Engineering,Q1
Digital Biomarkers,2504110X,1.061,29,Computer Science Applications,Q1
Global Challenges,20566646,1.061,46,Multidisciplinary,Q1
IEEE/ACM Transactions on Audio Speech and Language Processing,23299304,1.061,92,Acoustics and Ultrasonics,Q1
JBI Evidence Synthesis,26898381,1.061,49,Nursing,Q1
Journal of Further and Higher Education,14699486,1.061,59,Education,Q1
NeoBiota,16190033,1.061,41,Animal Science and Zoology,Q1
Neurological Research and Practice,25243489,1.061,24,Neurology,Q2
Perspectives in Public Health,17579139,1.061,62,"Public Health, Environmental and Occupational Health",Q1
Research in Higher Education,1573188X,1.061,110,Education,Q1
Annals of Actuarial Science,17484995,1.06,20,Economics and Econometrics,Q1
Clinical Hypertension,20565909,1.06,25,Cardiology and Cardiovascular Medicine,Q1
European Journal of Applied Physiology,14396319,1.06,167,Medicine,Q1
Food Microbiology,07400020,1.06,152,Food Science,Q1
IEEE Internet of Things Magazine,25763199,1.06,29,Computer Networks and Communications,Q1
Journal of Homosexuality,15403602,1.06,95,Education,Q1
Astroparticle Physics,09276505,1.059,124,Astronomy and Astrophysics,Q1
Best Practice and Research in Clinical Anaesthesiology,17533740,1.059,86,Anesthesiology and Pain Medicine,Q1
Canadian Journal of Diabetes,23523840,1.059,59,Medicine,Q1
